canonical_name,node_id,high_stress_record_count,all_stress_record_count,average_stress_score,max_stress_score,refinancing_record_count,repayment_pressure_record_count,strict_slice_high_stress_count,role_mix,mechanism_mix,stress_context_edge_count,third_party_dependency_record_count,supporting_records
Greek provincial communities,actor_greek_provincial_communities,0,1,1.000,1,0,0,0,borrower (1),surety (1),2,1,CIC-SRC-EXP-0005
Hermogenes,actor_hermogenes,0,1,1.000,1,0,0,0,third_party (1),ambiguous (1),3,1,ATT-PILOT-0012
L Planco,actor_l_planco,0,1,1.000,1,0,0,0,recipient (1),recommendation (1),0,1,SEC-STAGED-0064
L. Carpinatius,actor_l_carpinatius,0,1,1.000,1,0,0,0,lender (1),political/civic finance (1),2,1,SEC-STAGED-0097
L. Culleolus,actor_l_culleolus,0,1,1.000,1,0,0,0,third_party (1),surety (1),2,1,SEC-STAGED-0065
L. Lucceius,actor_l_lucceius,0,1,1.000,1,0,0,0,lender (1),surety (1),2,1,SEC-STAGED-0065
L. Mescinius,actor_l_mescinius,0,1,1.000,1,0,0,0,borrower (1),surety (1),1,1,FAM-PILOT-0003
L. Titius Strabo,actor_l_titius_strabo,0,1,1.000,1,0,0,0,lender (1),recommendation (1),2,1,SEC-STAGED-0057
M. Antonius,actor_m_antonius,0,1,1.000,1,0,0,0,lender (1),surety (1),1,1,QFR-PILOT-0001
M. Fadius Gallus,actor_m_fadius_gallus,0,1,1.000,1,0,0,0,recipient (1),account/nomina (1),0,0,FAM-PILOT-0002
M. Laenius,actor_m_laenius,0,1,1.000,1,0,0,0,lender (1),recommendation (1),2,1,SEC-STAGED-0071
Meton,actor_meton,0,1,1.000,1,0,0,0,third_party (1),account/nomina (1),2,1,ATT-PILOT-0026
Ofillius,actor_ofillius,0,1,1.000,1,0,0,0,lender (1),account/nomina (1),1,1,FAM-PILOT-0004
P Servilio Collegae,actor_p_servilio_collegae,0,1,1.000,1,0,0,0,recipient (1),account/nomina (1),0,1,SEC-STAGED-0070
P. Cornelius,actor_p_cornelius,0,1,1.000,1,0,0,0,borrower (1),recommendation (1),2,1,SEC-STAGED-0057
P. Iunius,actor_p_iunius,0,1,1.000,1,0,0,0,borrower (1),surety (1),1,1,SEC-STAGED-0088
P. Magius Chilo,actor_p_magius_chilo,0,1,1.000,1,0,0,0,borrower (1),surety (1),1,1,SEC-STAGED-0010
P. Sittius,actor_p_sittius,0,1,1.000,1,0,0,0,borrower (1),surety (1),1,1,SEC-STAGED-0099
P. Sulla,actor_p_sulla,0,1,1.000,1,0,0,0,third_party (1),surety (1),1,1,SEC-STAGED-0099
P. Valerius,actor_p_valerius,0,1,1.000,1,0,0,0,borrower (1),surety (1),2,1,SEC-STAGED-0032
Patulcius,actor_patulcius,0,1,1.000,1,0,0,0,lender (1),account/nomina (1),1,1,SEC-STAGED-0076
Philargyrus,actor_philargyrus,0,1,1.000,1,0,0,0,lender (1),ambiguous (1),1,1,SEC-STAGED-0075
Philogenes,actor_philogenes,0,1,1.000,1,0,0,0,borrower (1),account/nomina (1),0,0,ATT-PILOT-0033
Q. Caecilius Dio,actor_q_caecilius_dio,0,1,1.000,1,0,0,0,borrower (1),account/nomina (1),1,1,SEC-STAGED-0096
Roman state,actor_roman_state,0,1,1.000,1,0,0,0,lender (1),surety (1),1,1,SEC-STAGED-0088
Roman state grain funds,actor_roman_state_grain_funds,0,1,1.000,1,0,0,0,third_party (1),political/civic finance (1),3,1,SEC-STAGED-0097
Sardis,actor_sardis,0,1,1.000,1,0,0,0,borrower (1),ambiguous (1),1,1,SEC-STAGED-0056
Scapula estate,actor_scapula_estate,0,1,1.000,1,0,0,0,lender (1),account/nomina (1),0,0,SEC-STAGED-0030
Senate,actor_senate,0,1,1.000,1,0,0,0,third_party (1),political/civic finance (1),2,1,CIC-SRC-EXP-0003
Ser. Sulpicius Galba,actor_ser_sulpicius_galba,0,1,1.000,1,0,0,0,third_party (1),surety (1),1,1,SEC-STAGED-0042
Servilius,actor_servilius,0,1,1.000,1,0,0,0,third_party (1),surety (1),2,1,CIC-SRC-EXP-0005
Servius Sulpicius,actor_servius_sulpicius,0,1,1.000,1,0,0,0,recipient (1),surety (1),0,1,FAM-PILOT-0003
Sicilian tax company,actor_sicilian_tax_company,0,1,1.000,1,0,0,0,lender (1),political/civic finance (1),2,1,SEC-STAGED-0097
Titus Pomponius,actor_titus_pomponius,0,1,1.000,1,0,0,0,lender (1),surety (1),0,0,SEC-STAGED-0002
Xeno,actor_xeno,0,1,1.000,1,0,0,0,third_party (1),account/nomina (1),2,1,SEC-STAGED-0025
amici,actor_amici,0,1,1.000,1,0,0,0,lender (1),ambiguous (1),1,1,SEC-STAGED-0006
borrowers under Verres' scheme,actor_borrowers_under_verres_scheme,0,1,1.000,1,0,0,0,borrower (1),political/civic finance (1),2,1,SEC-STAGED-0097
cities in Asia,actor_cities_in_asia,0,1,1.000,1,0,0,0,borrower (1),political/civic finance (1),1,1,CIC-SRC-EXP-0003
city of Byllis,actor_city_of_byllis,0,1,1.000,1,0,0,0,borrower (1),surety (1),2,1,SEC-STAGED-0065
city of Dyrrhachium,actor_city_of_dyrrhachium,0,1,1.000,1,0,0,0,borrower (1),recommendation (1),1,1,SEC-STAGED-0067
city of Sicyon,actor_city_of_sicyon,0,1,1.000,1,0,0,0,borrower (1),recommendation (1),1,1,SEC-STAGED-0066
friends of Cato,actor_friends_of_cato,0,1,1.000,1,0,0,0,borrower (1); third_party (1),political/civic finance (2),1,1,SEC-STAGED-0081
multiple provincial communities,actor_multiple_provincial_communities,0,1,1.000,1,0,0,0,borrower (1),political/civic finance (1),1,1,CIC-SRC-EXP-0004
provincial governor,actor_provincial_governor,0,1,1.000,1,0,0,0,third_party (1),account/nomina (1),1,1,SEC-STAGED-0070
publicani,actor_publicani,0,1,1.000,1,0,0,0,lender (1),surety (1),2,1,CIC-SRC-EXP-0005
